Nombre,Departamento,Ciudad,Direccion,HoraDeApertura,HoraDeCierre,Facebook,Instagram,Web,Descripcion,Latitud,Longitud,TipoDeLugar,RestriccionDeEdad,EnfoqueDePersonas,Megusta,Tipo,Telefonos
Comisaria N 10,Montevideo,Montevideo,Gabriel A. Pereira 2120,00:00:00,23:59:59,,,https://policia.minterior.gub.uy/index.php,Seccional oficial,3489334,5618099,Espacio cerrado,Todas,Grupo,4192,Seccionales,20302310
Cerrajeria VTR,Montevideo,Montevideo,Bv. Gral. Artigas 3126,00:00:00,23:59:59,,,http://vtrcerrajeria.wixsite.com/cerrajeriavtr,Cerrajeria oficial,3490917,5625993,Espacio cerrado,Todas,Grupo,2903,Cerrajerias,98423549
Cerrajeria La Llave,Montevideo,Montevideo,Av. Luis Alberto de Herrera 3661,00:00:00,23:59:59,,,https://cerrajerialallave-locksmith.negocio.site/,Cerrajeria oficial,3490917,5625993,Espacio cerrado,Todas,Grupo,1159,Cerrajerias,98171830
Cerrajeria tres cruces,Montevideo,Montevideo,Estacionamiento de Shopping 3 cruces,00:00:00,23:59:59,https://www.facebook.com/cerrajeriatrescruces/,,https://www.trescruces.com.uy/local/cerrajeria/,Cerrajeria oficial,3490917,5625993,Espacio cerrado,Todas,Grupo,3139,Cerrajerias,24024988
Cerrajeria La Blanqueada,Montevideo,Montevideo,Av. Luis Alberto de Herrera 2931,00:00:00,23:59:59,,,https://cerrajeria-la-blanqueada.negocio.site/?utm_source=gmb&utm_medium=referral,Cerrajeria oficial,3487550,5622843,Espacio cerrado,Todas,Grupo,2331,Cerrajerias,24878973
Cerrajeria Jacinto Vera servicio de urgencias,Montevideo,Montevideo,Dr. Martin Martinez 3043,00:00:00,23:59:59,,,https://cerrajeriamontevideo.com/cerrajeros/cerrajeria-en-jacinto-vera/,Cerrajeria oficial,3487353,5624534,Espacio cerrado,Todas,Grupo,2069,Cerrajerias,96738924
Cerrajeria Betel Automotriz Residencial Empresarial,Montevideo,Montevideo,Av. Gral. Rivera 3543,00:00:00,23:59:59,,,https://nicelocal.uy/montevideo/business/cerrajeria_betel_-_automotriz_-_residencial_-_empresarial_-/,Cerrajeria oficial,3487353,5624534,Espacio cerrado,Todas,Grupo,1341,Cerrajerias,99171670
Cerrajeria VTR,Montevideo,Montevideo,Bv. Gral. Artigas 3126,00:00:00,23:59:59,,,http://vtrcerrajeria.wixsite.com/cerrajeriavtr,Cerrajeria oficial,3487353,5624534,Espacio cerrado,Todas,Grupo,3128,Cerrajerias,98423549
Cerrajeria S y E,Montevideo,Montevideo,Av. Jose Belloni 4820,00:00:00,23:59:59,,,https://uy.todosnegocios.com/cerrajer%C3%ADa-s-y-e-2227-2732,Cerrajeria oficial,3481625,5620869,Espacio cerrado,Todas,Grupo,1820,Cerrajerias,22272732
Cerrajeria Andes,Montevideo,Montevideo,Andes 1217bis,00:00:00,23:59:59,,,https://uy.todosnegocios.com/cerrajeria-andes-2903-1217,Cerrajeria oficial,3490881,5626800,Espacio cerrado,Todas,Grupo,3190,Cerrajerias,29031217
Cerrajeria Spikerman,Montevideo,Montevideo,Salto 1175,00:00:00,23:59:59,https://www.facebook.com/people/Cerrajeria-Spikerman/100054345649444/,,https://nicelocal.uy/montevideo/repair/cerrajeria_spikerman/,Cerrajeria oficial,3490881,5626800,Espacio cerrado,Todas,Grupo,1933,Cerrajerias,99669953
Cerrajeria Pablo Bertiz Llaves Codificadas,Montevideo,Montevideo,Dr. Juan Carlos Dighiero 2508,00:00:00,23:59:59,https://www.facebook.com/CerrajeriaPabloBertiz/,,https://uy.todosnegocios.com/cerrajeria-pablo-bertiz-llaves-094-430-244,Cerrajeria oficial,3490881,5626800,Espacio cerrado,Todas,Grupo,3837,Cerrajerias,94430244
Llaves De Autos Cerrajeria Lee,Montevideo,Montevideo,Jose Ellauri 1334,00:00:00,23:59:59,,,https://cerrajerialee.com.uy/,Cerrajeria oficial,3490707,5621941,Espacio cerrado,Todas,Grupo,3604,Cerrajerias,94422432
Cerrajeria Leo Villa Dolores,Montevideo,Montevideo,Francisco Joaquin Munioz 3388 esquina Julio Cesar,00:00:00,23:59:59,https://www.facebook.com/profile.php?id=100063781381276,,https://zaubee.com/biz/cerrajer%C3%ADa-leo-villa-dolores-vnpbkigq,Cerrajeria oficial,3490707,5621941,Espacio cerrado,Todas,Grupo,2302,Cerrajerias,98971279
Cerrajeria La Curva,Montevideo,Montevideo,Supermercado Disco Av. 8 de Octubre 4786,00:00:00,23:59:59,https://www.facebook.com/profile.php?id=100032092346619,,https://zaubee.com/biz/cerrajer%C3%ADa-la-curva-igwhotpf,Cerrajeria oficial,3485717,5620285,Espacio cerrado,Todas,Grupo,2272,Cerrajerias,95686980
Cerrajeria Palermo,Montevideo,Montevideo,Av. Gonzalo Ramirez 1878,00:00:00,23:59:59,,,https://cerrajeriapalermo.uy/,Cerrajeria oficial,3491207,5624431,Espacio cerrado,Todas,Grupo,2393,Cerrajerias,94413643
